cpu_percent,mem_total,mem_used,mem_free,mem_percent,bytes_sent,bytes_recv,timestamp,ts_writerow
0.3,2000,132,1066,15.6,2402085,57720136,2021-03-10 19:22:50.940293,2021-03-10 19:23:21.067054
0.3,2000,132,1066,15.6,2402085,57720136,2021-03-10 19:22:50.940293,2021-03-10 19:24:21.071867
0.2,2000,132,1066,15.6,2407774,57724330,2021-03-10 19:24:51.087621,2021-03-10 19:25:21.076294
0.2,2000,132,1066,15.6,2407774,57724330,2021-03-10 19:24:51.087621,2021-03-10 19:26:21.082869
0.3,2000,132,1066,15.6,2413343,57728318,2021-03-10 19:26:51.152197,2021-03-10 19:27:21.088379
0.3,2000,132,1066,15.6,2413343,57728318,2021-03-10 19:26:51.152197,2021-03-10 19:28:21.095895
0.2,2000,132,1066,15.6,2418616,57732628,2021-03-10 19:28:51.241310,2021-03-10 19:29:21.103888
0.2,2000,132,1066,15.6,2418616,57732628,2021-03-10 19:28:51.241310,2021-03-10 19:30:21.109777
0.2,2000,132,1066,15.6,2424203,57737068,2021-03-10 19:30:51.308223,2021-03-10 19:31:21.116006
0.2,2000,132,1066,15.6,2424203,57737068,2021-03-10 19:30:51.308223,2021-03-10 19:32:21.123255
0.2,2000,132,1065,15.6,2429620,57741252,2021-03-10 19:32:51.449162,2021-03-10 19:33:21.129592
0.2,2000,132,1065,15.6,2429620,57741252,2021-03-10 19:32:51.449162,2021-03-10 19:34:21.136014
0.2,2000,132,1066,15.6,2434759,57745030,2021-03-10 19:34:51.501948,2021-03-10 19:35:21.139889
0.2,2000,132,1066,15.6,2434759,57745030,2021-03-10 19:34:51.501948,2021-03-10 19:36:21.144270
0.2,2000,132,1066,15.6,2439834,57748854,2021-03-10 19:36:51.526632,2021-03-10 19:37:21.147716
0.2,2000,132,1066,15.6,2439834,57748854,2021-03-10 19:36:51.526632,2021-03-10 19:38:21.151137
0.2,2000,132,1066,15.6,2445319,57752880,2021-03-10 19:38:51.565504,2021-03-10 19:39:21.157250
